觀測時間,測站氣壓,海平面氣壓,氣溫,露點溫度,相對溼度,風速,風向,最大陣風,最大陣風風向,降水量,降水時數,日照時數,全天空日射量,能見度,紫外線指數,總雲量
2014-06-16-08,1004.5,1005.2,28.9,24.6,78,0.3,40,2,30,0,0,0.1,1.14,14,2,7
2014-06-16-09,1004,1004.7,31,25.1,71,0.7,130,2.5,10,0,0,0.9,2.18,15,4,5
2014-06-16-10,1003.8,1004.5,32.7,24.9,64,0.9,350,3.7,30,0,0,0.9,2.68,N/A,7,6
2014-06-16-11,1003.6,1004.3,34.2,25.3,60,1.2,50,4.7,80,0,0,1,3.07,16,9,7
2014-06-16-12,1003.3,1004,32.6,25.1,65,0.8,340,4.2,40,0,0,0.3,1.76,N/A,6,8
2014-06-16-13,1003,1003.7,31.2,23.8,65,1.5,330,5.4,330,0,0,0,0.68,N/A,3,9
2014-06-16-14,1003.1,1003.8,27.9,24.3,81,1.5,360,6,330,1,1,0,0.04,15,0,9
2014-06-16-15,1002.9,1003.6,28.1,24.3,80,0.9,160,3.9,290,T,0.1,0,0.04,N/A,1,10
2014-06-16-16,1002.8,1003.5,28.2,23.7,77,0.2,0,4,330,T,0.1,0,0.24,N/A,1,10
2014-06-16-17,1002.8,1003.5,28.3,24.1,78,0.9,200,3,270,T,0.2,0,0,7,0,10
2014-06-16-18,1002.8,1003.5,28.2,24,78,1.8,130,3.1,130,0.5,0.5,0,0,N/A,0,N/A
2014-06-16-19,1003.1,1003.8,27.7,23,76,1.4,140,4.5,110,0,0,0,0,N/A,0,N/A
2014-06-16-20,1003.5,1004.2,28.1,22.9,73,1.6,80,4,110,0,0,N/A,0,20,0,7
2014-06-16-21,1003.3,1004,27.9,22.8,74,0.7,170,3.5,70,0,0,N/A,0,20,0,4
2014-06-16-22,1003.5,1004.2,27.3,22.8,76,1.5,130,2.8,120,0,0,N/A,0,N/A,0,N/A
2014-06-16-23,1003.1,1003.8,26.9,22.8,78,1.1,170,2.6,160,0,0,N/A,0,20,0,6
2014-06-16-24,1002.7,1003.4,26.6,22.4,78,1.4,160,2.8,160,0,0,N/A,0,N/A,0,N/A
2014-06-17-01,1002,1002.7,26.3,22.2,78,2,160,3.5,170,0,0,N/A,0,N/A,0,N/A
2014-06-17-02,1001.6,1002.3,26.3,22,77,1.8,150,3.7,160,0,0,N/A,0,18,0,8
2014-06-17-03,1001.4,1002.1,26.4,22,77,2.3,160,4.3,160,0,0,N/A,0,N/A,0,N/A
2014-06-17-04,1001.8,1002.5,26.4,22.1,77,1,140,3.4,160,0,0,N/A,0,N/A,0,N/A
2014-06-17-05,1002.1,1002.8,26.4,21.9,76,1.4,160,3.1,150,0,0,N/A,0,20,0,8
2014-06-17-06,1002.6,1003.3,26.5,22.2,77,1.2,110,3.7,160,0,0,0,0,N/A,0,N/A
2014-06-17-07,1002.9,1003.6,27,22.8,78,0.3,130,3.6,140,0,0,0,0.2,N/A,0,N/A
2014-06-17-08,1002.9,1003.6,28.5,23.6,75,0.2,0,1.6,270,0,0,0.2,0.78,20,1,9
2014-06-17-09,1003,1003.7,30.8,23.7,66,2.2,270,4.1,250,0,0,0.1,1.26,22,3,9
2014-06-17-10,1002.7,1003.4,32.2,24,62,2.8,260,8.4,280,0,0,0.4,2.06,N/A,5,8
2014-06-17-11,1002.2,1002.9,33.6,23.8,57,4.4,250,14.2,270,0,0,0.6,2.43,25,7,6
2014-06-17-12,1002.1,1002.8,34.5,25,58,3.8,290,12.4,260,0,0,0.1,1.59,N/A,6,6
2014-06-17-13,1001.9,1002.6,34.6,25.8,60,4.4,290,12.9,280,0,0,0.6,2.96,N/A,8,6
2014-06-17-14,1001.6,1002.3,35.5,25.8,57,4.3,290,12.5,270,0,0,0.9,3.46,22,9,7
2014-06-17-15,1001.3,1002,35.5,25.5,56,5,290,13.2,280,0,0,0.9,2.92,N/A,6,7
2014-06-17-16,1001.2,1001.9,33.8,25.1,61,5.1,270,12.9,250,0,0,0.6,2.31,N/A,4,9
2014-06-17-17,1001.4,1002.1,33.1,24.4,60,4.1,290,10.9,260,0,0,0.1,0.66,22,1,8
2014-06-17-18,1001.4,1002.1,32.5,24,61,4.3,260,11.1,280,0,0,0.1,0.47,N/A,0,N/A
2014-06-17-19,1002.1,1002.8,31.7,23.8,63,3,260,10.1,280,0,0,0.2,0.5,N/A,0,N/A
2014-06-17-20,1002.8,1003.5,30.8,24.1,68,2.6,270,7.4,280,0,0,N/A,0,15,0,3
2014-06-17-21,1003.5,1004.2,30.5,24.2,69,2.6,250,6.3,290,0,0,N/A,0,15,0,3
2014-06-17-22,1003.8,1004.5,30.4,24,69,1.4,280,6.5,280,0,0,N/A,0,N/A,0,N/A
2014-06-17-23,1003.8,1004.5,30.3,23.6,67,2.1,290,5.2,280,0,0,N/A,0,15,0,4
2014-06-17-24,1004,1004.7,30.2,23.2,66,2.4,290,6,250,0,0,N/A,0,N/A,0,N/A
2014-06-18-01,1003.5,1004.2,29.7,22.9,67,1.1,270,5.8,290,0,0,N/A,0,N/A,0,N/A
2014-06-18-02,1003.2,1003.9,30.4,22.3,62,2.4,260,7.5,280,0,0,N/A,0,15,0,5
2014-06-18-03,1003.4,1004.1,30.1,22.2,63,2.2,270,7.3,270,0,0,N/A,0,N/A,0,N/A
2014-06-18-04,1003.6,1004.3,29.2,22.3,66,1.8,230,5.1,280,0,0,N/A,0,N/A,0,N/A
2014-06-18-05,1004.1,1004.8,29,22.5,68,2.7,290,6.4,330,0,0,N/A,0,18,0,7
2014-06-18-06,1004.2,1004.9,29,22.6,68,1.7,260,5.3,280,0,0,0,0,N/A,0,N/A
2014-06-18-07,1004.3,1005,29.2,22.9,69,1.9,260,4.6,280,0,0,0,0.32,N/A,0,N/A
2014-06-18-08,1004.6,1005.3,30.3,23.6,67,2.3,270,6.9,290,0,0,0.2,0.93,18,2,6
2014-06-18-09,1004.9,1005.6,32,24.6,65,2.1,270,6.1,280,0,0,0.9,1.96,18,4,4
2014-06-18-10,1004.5,1005.2,33.1,25.3,64,1.2,250,6,290,0,0,0.9,2.9,N/A,7,6
2014-06-18-11,1004.2,1004.9,33.5,24.7,60,2.8,260,7.6,250,0,0,0.7,2.62,18,7,7
2014-06-18-12,1003.8,1004.5,34.2,25.4,60,2.2,310,8.6,270,0,0,0.4,2.2,N/A,7,7
2014-06-18-13,1002.8,1003.5,34,25.3,61,1.9,290,6.2,300,0,0,0.4,2.11,N/A,7,8
2014-06-18-14,1002.8,1003.5,32.6,25.6,67,3.2,340,9.6,340,0,0,0.3,1.74,18,5,9
2014-06-18-15,1002.7,1003.4,32.8,25.1,64,2.4,310,7.4,340,0,0,0,0.63,N/A,2,9
2014-06-18-16,1003.1,1003.8,30.3,24.1,70,1.5,70,7.3,270,0,0,0,0.35,N/A,1,10
2014-06-18-17,1003.5,1004.2,29,23.7,73,3.5,70,7.5,70,0,0,0,0,25,0,10
2014-06-18-18,1003.3,1004,28.5,23.4,74,2.4,90,5.3,80,T,0.1,0,0,N/A,0,N/A
2014-06-18-19,1004.3,1005,28.4,23.6,75,2.2,130,4.7,90,T,0.2,0,0,N/A,0,N/A
2014-06-18-20,1004.9,1005.6,28.5,23.4,74,2,100,3.6,70,0,0,N/A,0,25,0,9
2014-06-18-21,1005,1005.7,28.3,23.4,75,1.7,80,4.5,170,0,0,N/A,0,25,0,9
2014-06-18-22,1005.4,1006.1,28.4,23.4,74,0.6,100,4,90,0,0,N/A,0,N/A,0,N/A
2014-06-18-23,1005.1,1005.8,28.1,23.4,76,1.6,120,2.7,120,0,0,N/A,0,25,0,7
2014-06-18-24,1004.8,1005.5,28.2,23.3,75,1.3,140,2.3,130,0,0,N/A,0,N/A,0,N/A
2014-06-19-01,1004.5,1005.2,28,23.4,76,1.1,130,2.4,150,0,0,N/A,0,N/A,0,N/A
2014-06-19-02,1004.2,1004.9,27.9,23.4,77,1.6,120,3.2,120,0,0,N/A,0,15,0,8
2014-06-19-03,1003.9,1004.6,27.4,23.2,78,1.6,120,3.4,140,0,0,N/A,0,N/A,0,N/A
2014-06-19-04,1003.8,1004.5,27.3,23.1,78,2,110,2.7,120,0,0,N/A,0,N/A,0,N/A
2014-06-19-05,1003.9,1004.6,27.1,23,78,0.9,130,2.5,140,0,0,N/A,0,15,0,7
2014-06-19-06,1004,1004.7,27.5,23.5,79,0.8,190,1.6,220,0,0,0,0.01,N/A,0,N/A
2014-06-19-07,1004.3,1005,28.2,24,78,1.3,110,3.1,90,0,0,0.4,0.82,N/A,0,N/A
2014-06-19-08,1004.2,1004.9,29.5,24.5,75,0.5,120,2.1,150,0,0,0.2,0.98,15,2,7
2014-06-19-09,1004.5,1005.2,31.2,24.6,68,0.3,270,4.4,270,0,0,0.4,1.56,15,4,7
2014-06-19-10,1004.2,1004.9,31.7,24.2,65,1.3,220,5.3,270,0,0,0.1,1.41,N/A,4,8
2014-06-19-11,1004.3,1005,32.7,24.3,61,2.2,280,5.6,280,0,0,0,1.47,18,5,8
2014-06-19-12,1003.5,1004.2,32.6,25.8,68,1.3,350,5,340,0,0,0.2,1.68,N/A,5,8
2014-06-19-13,1003.6,1004.3,31,25.1,71,3,360,6.7,30,0,0,0,1.3,N/A,4,9
2014-06-19-14,1003.5,1004.2,29.4,25.2,78,1.4,20,6.1,350,0.5,0.3,0,0.08,18,1,10
2014-06-19-15,1003.2,1003.9,30.3,25.2,74,1.9,30,5.9,10,0,0,0,0.17,N/A,1,10
2014-06-19-16,1002.7,1003.4,29.9,24.6,73,2.5,80,5.7,50,0,0,0,0.11,N/A,0,10
2014-06-19-17,1002.8,1003.5,28.6,24.3,78,2.5,60,5.6,70,T,0.7,0,0,6,0,10
2014-06-19-18,1003.1,1003.8,27.7,24.3,82,1.6,70,5.7,120,2,1,0,0,N/A,0,N/A
2014-06-19-19,1003.3,1004,27.7,24.1,81,1.5,80,3.3,90,T,0.2,0,0,N/A,0,N/A
2014-06-19-20,1004.1,1004.8,27.9,24,79,1.1,90,3,110,0,0,N/A,0,10,0,9
2014-06-19-21,1004.4,1005.1,28.4,24.1,78,2,90,3.5,100,0,0,N/A,0,10,0,7
2014-06-19-22,1005,1005.7,27.9,23.8,78,1.2,180,2.8,120,0,0,N/A,0,N/A,0,N/A
2014-06-19-23,1004.4,1005.1,27.9,23.9,79,1.3,110,2.4,140,0,0,N/A,0,10,0,5
2014-06-19-24,1004.2,1004.9,27.7,23.6,78,0.8,200,3.1,170,0,0,N/A,0,N/A,0,N/A
2014-06-20-01,1003.7,1004.4,27.3,23.3,79,0.8,190,2.2,160,0,0,N/A,0,N/A,0,N/A
2014-06-20-02,1003.5,1004.2,27.3,23.3,79,1.4,140,2.5,120,0,0,N/A,0,10,0,7
2014-06-20-03,1003.2,1003.9,27,23.2,80,0.3,100,2.8,130,0,0,N/A,0,N/A,0,N/A
2014-06-20-04,1003.9,1004.6,27.1,23.2,79,1.5,160,2.5,170,0,0,N/A,0,N/A,0,N/A
2014-06-20-05,1004,1004.7,27.1,23.2,79,1.1,110,2.9,150,0,0,N/A,0,10,0,9
2014-06-20-06,1004,1004.7,27.3,23.4,79,1,100,2,110,0,0,0,0,N/A,0,N/A
2014-06-20-07,1004.1,1004.8,28.1,24.1,79,0.3,100,2.2,120,0,0,0,0.41,N/A,0,N/A
2014-06-20-08,1004.1,1004.8,28.9,24.5,77,0.9,160,2,170,0,0,0,0.69,11,1,6
2014-06-20-09,1004,1004.7,30.6,25.6,75,0.6,140,2.2,90,0,0,0.5,1.51,10,3,4
2014-06-20-10,1004.3,1005,32.9,26.3,68,0.8,240,2.6,360,0,0,0.7,2.56,N/A,6,5
2014-06-20-11,1003.9,1004.6,33.2,26.2,67,1.2,340,5.3,340,0,0,0.4,2.02,10,6,6
2014-06-20-12,1003.8,1004.5,31.8,25.5,69,1,340,5.4,360,0,0,0.1,1.3,N/A,4,9
2014-06-20-13,1003.6,1004.3,28.7,23.8,75,4.5,80,8.3,80,0.2,0.5,0,0.5,N/A,2,10
2014-06-20-14,1004.1,1004.8,27.4,24.2,83,2.3,90,8.9,40,11.5,0.8,0,0.09,11,0,10
2014-06-20-15,1003.9,1004.6,27.4,24,82,1.9,110,5.4,70,0.5,0.2,0,0.21,N/A,1,10
2014-06-20-16,1003.9,1004.6,27.4,24.2,83,1.4,80,4,90,1,1,0,0.04,N/A,0,10
2014-06-20-17,1004.1,1004.8,27.5,24.2,82,2.2,90,4.7,90,2.5,0.8,0,0.19,15,0,10
2014-06-20-18,1004.5,1005.2,28,24.7,82,2,130,3.5,70,0,0,0,0.3,N/A,0,N/A
2014-06-20-19,1004.9,1005.6,27.5,24.3,83,1.4,140,5.3,100,0,0,0,0.08,N/A,0,N/A
2014-06-20-20,1004.5,1005.2,27.3,23.9,82,1.6,130,4,80,0,0,N/A,0,15,0,4
2014-06-20-21,1005,1005.7,27.4,23.9,81,1.1,100,2.9,120,0,0,N/A,0,13,0,6
2014-06-20-22,1004.7,1005.4,27.3,23.9,82,1.3,50,4.2,90,0,0,N/A,0,N/A,0,N/A
2014-06-20-23,1004.7,1005.4,27.4,23.6,80,0.8,120,2.9,170,0,0,N/A,0,15,0,7
2014-06-20-24,1004.4,1005.1,26.7,23.6,83,0.5,220,1.9,170,0,0,N/A,0,N/A,0,N/A
2014-06-21-01,1004.3,1005,27.1,23.3,80,1.5,170,2.8,170,0,0,N/A,0,N/A,0,N/A
2014-06-21-02,1004.2,1004.9,26.5,23.4,83,0.8,170,2.5,210,0,0,N/A,0,15,0,2
2014-06-21-03,1004.1,1004.8,26.5,23.1,82,1.3,150,2.4,140,0,0,N/A,0,N/A,0,N/A
2014-06-21-04,1004.4,1005.1,26.6,23,81,1.7,160,3.7,170,0,0,N/A,0,N/A,0,N/A
2014-06-21-05,1004.4,1005.1,26.5,22.7,80,1.1,140,3.3,180,0,0,N/A,0,13,0,7
2014-06-21-06,1004.9,1005.6,26.7,23,80,0.9,130,2.6,180,0,0,0,0,N/A,0,N/A
2014-06-21-07,1005.6,1006.3,27.7,23.8,79,1.1,210,2,190,0,0,0.2,0.42,N/A,0,N/A
2014-06-21-08,1005.6,1006.3,29.3,25.2,79,0.4,210,1.9,210,0,0,0.4,1.39,10,2,3
2014-06-21-09,1005.6,1006.3,30.4,25,73,1,150,2.3,140,0,0,0.6,1.82,10,4,8
2014-06-21-10,1005.3,1006,31.1,25.1,71,1,290,3.4,300,0,0,0.5,2.03,N/A,5,9
2014-06-21-11,1004.9,1005.6,32.5,25.6,67,0.9,110,3.4,160,0,0,0.5,2.32,12,6,9
2014-06-21-12,1004.6,1005.3,32,25.1,67,0.9,300,3.2,320,0,0,0.1,1.31,N/A,4,9
2014-06-21-13,1004.1,1004.8,32.6,26.2,69,0.9,320,4.6,310,0,0,0.3,1.73,N/A,5,9
2014-06-21-14,1003.9,1004.6,30.5,24.9,72,2,50,5.9,350,0,0,0.1,1.15,12,3,10
2014-06-21-15,1003.6,1004.3,29.5,25.1,77,1.6,360,6,340,0,0,0,0.13,N/A,1,10
2014-06-21-16,1003.6,1004.3,28.6,24.7,79,0.5,10,4.1,10,0.2,0.3,0,0.01,N/A,0,10
2014-06-21-17,1003.7,1004.4,28.4,24.5,79,1.6,80,3.4,330,0.3,0.8,0,0,11,0,10
2014-06-21-18,1003.9,1004.6,28.9,24.3,76,1.8,80,3.8,70,0,0,0,0,N/A,0,N/A
2014-06-21-19,1004.5,1005.2,29.1,24,74,2.2,90,4,50,0,0,0,0,N/A,0,N/A
2014-06-21-20,1005.1,1005.8,28.8,24,75,2.1,70,4.9,90,0,0,N/A,0,10,0,8
2014-06-21-21,1005.3,1006,28.5,24,77,1.2,100,5.2,60,0,0,N/A,0,10,0,3
2014-06-21-22,1005.4,1006.1,28.5,24.1,77,1.1,100,4.2,60,0,0,N/A,0,N/A,0,N/A
2014-06-21-23,1005.3,1006,28.3,23.9,77,1.2,100,3,90,0,0,N/A,0,10,0,1
2014-06-21-24,1005.4,1006.1,27.9,24,79,0,0,2.8,100,0,0,N/A,0,N/A,0,N/A
2014-06-22-01,1004.9,1005.6,28.3,24.1,78,1.1,280,2.5,300,0,0,N/A,0,N/A,0,N/A
2014-06-22-02,1004.5,1005.2,27.8,24.2,81,0.7,260,2.4,280,0,0,N/A,0,8,0,5
2014-06-22-03,1004.5,1005.2,28.1,24.3,80,1,130,2,280,0,0,N/A,0,N/A,0,N/A
2014-06-22-04,1004.4,1005.1,27.9,24.2,80,1,120,2.7,90,0,0,N/A,0,N/A,0,N/A
2014-06-22-05,1004.4,1005.1,27.6,24,81,1.2,150,2.6,130,0,0,N/A,0,8,0,5
2014-06-22-06,1004.4,1005.1,27.6,24,81,2.4,70,4.1,70,0,0,0,0,N/A,0,N/A
2014-06-22-07,1004.9,1005.6,28.4,24.5,79,0.9,120,2.8,80,0,0,0.1,0.53,N/A,0,N/A
2014-06-22-08,1005.1,1005.8,29.9,25.3,76,0.7,170,2.7,110,0,0,0.1,1.18,9,2,6
2014-06-22-09,1005.3,1006,31.6,25.8,71,0.8,40,3.4,340,0,0,0.8,1.98,9,4,5
2014-06-22-10,1005.5,1006.2,32,25.6,69,0.4,310,3,280,0,0,0.5,2.03,N/A,5,9
2014-06-22-11,1005.6,1006.3,31.4,25,69,1.6,340,5.2,330,0,0,0,0.88,18,3,9
2014-06-22-12,1005.3,1006,31.6,25.8,71,1.5,30,5.6,320,0,0,0,0.95,N/A,4,9
2014-06-22-13,1004.9,1005.6,29.1,24.8,78,1.2,290,4.8,300,T,0.6,0,0.44,N/A,2,10
2014-06-22-14,1004.6,1005.3,27.9,24.9,84,0.7,90,3.9,180,7.5,1,0,0.13,3.5,1,10
2014-06-22-15,1004.5,1005.2,27.6,24.2,82,2.7,70,6.8,80,2,1,0,0.03,N/A,0,10
2014-06-22-16,1005.2,1005.9,26.8,23.7,83,2.2,70,7,70,4.5,1,0,0,N/A,0,10
2014-06-22-17,1005.3,1006,26.9,23.8,83,1.5,130,5.9,30,1,1,0,0,6,0,9
2014-06-22-18,1005.4,1006.1,26.9,23.8,83,1.6,180,4.5,70,2,1,0,0,N/A,0,N/A
2014-06-22-19,1005.6,1006.3,26.5,23.7,85,3.2,100,6,90,4,1,0,0,N/A,0,N/A
2014-06-22-20,1006.3,1007,26.4,23.7,85,1.6,130,4.6,100,2.5,0.8,N/A,0,8,0,10
2014-06-22-21,1006.7,1007.4,26.6,24.1,86,0.3,110,1.8,150,0,0,N/A,0,8,0,10
2014-06-22-22,1007,1007.7,26.7,24.3,87,0.5,120,1.5,100,0,0,N/A,0,N/A,0,N/A
2014-06-22-23,1006.7,1007.4,26.9,24.5,87,0.5,190,1.5,110,0,0,N/A,0,5,0,10
2014-06-22-24,1006.2,1006.9,26.8,24.5,87,0.6,180,1.8,180,0,0,N/A,0,N/A,0,N/A
2014-06-23-01,1005.7,1006.4,26.5,24.1,87,0.2,0,1.9,180,0,0,N/A,0,N/A,0,N/A
2014-06-23-02,1005,1005.7,26.5,24.2,87,0.9,180,2,210,0,0,N/A,0,8,0,10
2014-06-23-03,1004.7,1005.4,26.4,23.9,86,0.2,0,2.1,140,0,0,N/A,0,N/A,0,N/A
2014-06-23-04,1004.7,1005.4,26.3,23.7,86,0.9,150,2,150,0,0,N/A,0,N/A,0,N/A
2014-06-23-05,1005,1005.7,26.2,23.6,86,0.8,150,1.8,140,0,0,N/A,0,9,0,8
2014-06-23-06,1005.4,1006.1,26.6,24.1,86,0.4,120,2.3,140,0,0,0,0,N/A,0,N/A
2014-06-23-07,1005.7,1006.4,27.5,24.8,85,0.7,180,1.9,130,0,0,0,0.34,N/A,0,N/A
2014-06-23-08,1005.7,1006.4,28.5,25,81,0.5,170,1.7,200,0,0,0,0.6,12,1,9
2014-06-23-09,1005.7,1006.4,29.9,25,75,0.8,200,2.5,200,0,0,0.2,1.45,12,3,9
2014-06-23-10,1005.4,1006.1,30.6,24.5,70,1.1,250,3.5,290,0,0,0,1.12,N/A,3,9
2014-06-23-11,1005.4,1006.1,30.5,25,73,1.5,300,5,300,0,0,0.1,1.26,16,4,9
2014-06-23-12,1004.8,1005.5,31.9,25.2,68,2,280,5.8,300,0,0,0.2,1.76,N/A,6,9
2014-06-23-13,1004.3,1005,31.7,25.3,69,1.3,280,5.5,280,0,0,0,0.8,N/A,3,9
2014-06-23-14,1003.7,1004.4,32.2,25.1,66,1.4,310,6.4,280,0,0,0.1,1.2,16,4,10
2014-06-23-15,1003.6,1004.3,28.5,25,81,1.1,200,7.5,290,3.5,0.6,0,0.4,N/A,1,10
2014-06-23-16,1003.3,1004,29.2,24.9,78,1.8,290,8.6,280,0.5,0.5,0,0.15,N/A,0,10
2014-06-23-17,1003.3,1004,29.6,24.3,73,1.3,320,7,310,0,0,0,0.1,15,0,10
2014-06-23-18,1004.7,1005.4,27.4,23.4,79,2.1,150,6.8,90,0,0,0,0,N/A,0,N/A
2014-06-23-19,1005.5,1006.2,26.3,22.3,79,1.7,90,6.1,110,T,0.9,0,0,N/A,0,N/A
2014-06-23-20,1005.9,1006.6,25.5,22.7,85,1.6,100,3.9,150,10,1,N/A,0,5,0,10
2014-06-23-21,1006,1006.7,25.5,22.5,84,0.7,120,5.6,170,24,1,N/A,0,5,0,10
2014-06-23-22,1006.5,1007.2,25.4,22.6,85,2.7,150,5.6,130,13,1,N/A,0,N/A,0,N/A
2014-06-23-23,1006.6,1007.3,25.4,22.8,86,1.3,110,3.4,150,7,0.7,N/A,0,10,0,8
2014-06-23-24,1005.9,1006.6,25.6,23.1,86,0.3,70,2.8,110,0,0,N/A,0,N/A,0,N/A
2014-06-24-01,1005.1,1005.8,25.6,23.2,87,0.3,90,1.6,20,0,0,N/A,0,N/A,0,N/A
2014-06-24-02,1004.5,1005.2,25.6,23.3,87,0.6,80,4,170,0,0,N/A,0,15,0,8
2014-06-24-03,1004.2,1004.9,25.7,23.5,88,0.3,190,1.6,200,0.5,0.3,N/A,0,N/A,0,N/A
2014-06-24-04,1004,1004.7,25.7,23.5,88,0.6,80,1.9,150,T,0.3,N/A,0,N/A,0,N/A
2014-06-24-05,1004.2,1004.9,25.8,23.6,88,0.3,210,2.5,270,0,0,N/A,0,15,0,9
2014-06-24-06,1004.5,1005.2,26,23.8,88,0.4,170,2.2,280,0,0,0,0,N/A,0,N/A
2014-06-24-07,1004.9,1005.6,26.8,24.5,87,0.3,190,1.7,160,0,0,0,0.14,N/A,0,N/A
2014-06-24-08,1005.1,1005.8,29.9,25.4,77,1.9,250,6.3,240,0,0,0.4,1.32,13,2,7
2014-06-24-09,1005.6,1006.3,29.7,24,72,1.6,280,7.7,280,0,0,0.4,1.27,15,2,10
2014-06-24-10,1005.5,1006.2,31.1,24.5,68,1.5,280,6.8,290,0,0,0.1,1.01,N/A,3,10
2014-06-24-11,1005.4,1006.1,30.5,24,68,1.6,310,9.7,300,0,0,0.1,1.09,18,4,9
2014-06-24-12,1005.2,1005.9,30.3,24.6,72,2,310,9.9,330,0,0,0.1,1.05,N/A,4,8
2014-06-24-13,1005,1005.7,29.4,24.1,73,1.4,310,9.3,340,0,0,0,0.95,N/A,4,10
2014-06-24-14,1004.5,1005.2,29.6,23.9,72,1.1,290,7.3,330,0,0,0,1.4,16,5,10
2014-06-24-15,1004.5,1005.2,28.7,23.2,72,2,320,7.4,340,0,0,0,0.63,N/A,2,10
2014-06-24-16,1004.3,1005,28.8,23.1,71,0.7,340,6.3,310,0,0,0,0.17,N/A,1,10
2014-06-24-17,1004.7,1005.4,28.7,22.9,71,0.3,190,3.2,350,0,0,0,0,16,0,10
2014-06-24-18,1005.3,1006,27.7,23.2,77,1.3,120,3.7,80,0,0,0,0,N/A,0,N/A
2014-06-24-19,1005.7,1006.4,27.5,23.2,77,1.2,110,3.4,80,0,0,0,0,N/A,0,N/A
2014-06-24-20,1006.1,1006.8,27.2,23.1,78,0.3,130,3.1,160,0,0,N/A,0,12,0,9
2014-06-24-21,1006.7,1007.4,27.3,23.2,78,1.4,130,2.7,110,0,0,N/A,0,12,0,8
2014-06-24-22,1007,1007.7,27.3,23.2,78,0.8,110,2.5,140,0,0,N/A,0,N/A,0,N/A
2014-06-24-23,1007,1007.7,27.2,23.2,79,0.8,120,2.3,170,0,0,N/A,0,12,0,9
2014-06-24-24,1006.7,1007.4,27,23.2,80,0.9,110,2.7,160,0,0,N/A,0,N/A,0,N/A
2014-06-25-01,1006.4,1007.1,26.9,23.3,81,0.5,170,2.3,170,0,0,N/A,0,N/A,0,N/A
2014-06-25-02,1005.8,1006.5,26.6,23.2,82,0.8,150,2.5,170,0,0,N/A,0,12,0,8
2014-06-25-03,1005.6,1006.3,26.6,22.9,80,0.9,120,2.3,90,0,0,N/A,0,N/A,0,N/A
2014-06-25-04,1005.4,1006.1,26.4,22.9,81,1.2,130,2.5,180,0,0,N/A,0,N/A,0,N/A
2014-06-25-05,1005.6,1006.3,26.4,22.9,81,0.9,120,2.3,150,0,0,N/A,0,16,0,3
2014-06-25-06,1006.1,1006.8,26.7,23.3,82,0.6,190,2.4,170,0,0,0,0,N/A,0,N/A
2014-06-25-07,1006.5,1007.2,27.6,23.8,80,1.3,160,2.5,160,0,0,0,0.38,N/A,0,N/A
2014-06-25-08,1006.9,1007.6,28.5,23.7,75,0.8,160,2,270,0,0,0.1,0.9,14,1,5
2014-06-25-09,1007,1007.7,30.8,25.3,73,1,210,2.7,200,0,0,0.3,1.35,14,3,4
2014-06-25-10,1006.8,1007.5,32.6,25.6,67,1.6,220,5.3,210,0,0,0.9,2.97,N/A,7,5
2014-06-25-11,1006.7,1007.4,32.6,25.4,66,0.9,310,4.8,300,0,0,0.2,1.81,15,5,8
2014-06-25-12,1006.6,1007.3,30.7,25.6,74,2.4,360,6.5,330,T,0.2,0,0.69,N/A,2,9
2014-06-25-13,1006,1006.7,29.2,25.5,81,2.1,10,6.4,350,0.5,0.1,0.1,0.69,N/A,3,10
2014-06-25-14,1005.9,1006.6,30,25.3,76,1.2,300,6.4,320,T,0.2,0,0.52,10,2,9
2014-06-25-15,1005.7,1006.4,26.6,23.7,84,3.5,110,7.7,130,13.5,0.4,0,0,N/A,0,10
2014-06-25-16,1005.6,1006.3,27.8,24.7,83,0.8,130,5.3,90,4.5,0.6,0.1,0.47,N/A,1,10
2014-06-25-17,1005.7,1006.4,27.2,24.1,83,3,140,6.7,210,2,0.5,0,0.43,6,1,8
2014-06-25-18,1005.8,1006.5,27.8,24.7,83,1.1,110,3.3,120,0,0,0,0.29,N/A,0,N/A
2014-06-25-19,1006.6,1007.3,27.7,24.5,83,1.1,80,3.7,80,0,0,0,0,N/A,0,N/A
2014-06-25-20,1006.9,1007.6,27.5,24.5,84,1.2,140,2.5,80,0.5,0.2,N/A,0,10,0,8
2014-06-25-21,1007.6,1008.3,27.5,24.5,84,1.4,120,3.2,150,0,0,N/A,0,10,0,9
2014-06-25-22,1007.7,1008.4,27.5,24.5,84,0.6,110,3,90,0,0,N/A,0,N/A,0,N/A
2014-06-25-23,1007.8,1008.5,27.2,24,83,1.2,130,2.9,70,0,0,N/A,0,10,0,3
2014-06-25-24,1007.4,1008.1,26.6,23.9,85,0.9,180,2,160,0,0,N/A,0,N/A,0,N/A
2014-06-26-01,1006.8,1007.5,26.5,23.6,84,1.2,90,2.6,150,0,0,N/A,0,N/A,0,N/A
2014-06-26-02,1005.9,1006.6,26.1,23.4,85,0.3,200,1.9,140,0,0,N/A,0,12,0,1
2014-06-26-03,1005.8,1006.5,26.1,23.2,84,1.3,150,2.9,180,0,0,N/A,0,N/A,0,N/A
2014-06-26-04,1005.6,1006.3,25.8,22.9,84,0.9,160,2.7,160,0,0,N/A,0,N/A,0,N/A
2014-06-26-05,1006,1006.7,25.6,22.9,85,0.4,210,2,170,0,0,N/A,0,13,0,9
